<<<<<<< HEAD
giveupBid,deposit,refundBid,cancelBid,verifyBid,acceptBid,withdraw
0,1,1,1,1,1,1
0,1,0,0,0,0,0
0,0,0,0,0,1,0
1,1,0,1,1,1,1
0,1,0,1,0,1,0
0,0,0,0,0,1,0
0,0,0,0,1,1,0
0,1,0,0,1,1,1
0,1,0,1,0,1,0
0,1,0,0,0,0,0
0,1,1,1,0,0,1
0,0,0,0,0,1,0
0,0,0,0,0,1,0
1,1,1,1,0,1,1
0,0,0,0,1,1,0
0,1,0,1,0,0,0
0,1,0,1,0,0,1
0,1,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,1,0
0,0,0,0,0,1,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,1,0,1,1
0,0,0,0,0,1,0
0,1,0,0,0,0,0
0,1,0,0,0,0,1
0,1,0,0,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,1,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,1,1,0
0,1,0,1,1,0,1
0,0,0,0,0,1,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,1,1,0
0,0,0,0,0,1,0
0,0,0,0,0,1,0
0,1,0,1,0,0,0
0,0,0,0,0,1,0
0,1,0,1,0,0,1
0,0,0,0,0,1,0
0,0,0,0,0,1,0
0,0,0,0,0,1,0
0,1,0,0,0,0,0
0,1,0,0,0,0,1
0,0,0,0,0,1,0
0,1,0,0,0,0,1
=======
giveupBid,deposit,refundBid,cancelBid,verifyBid,acceptBid,withdraw
0,1,1,1,1,1,1
0,1,0,0,0,0,0
0,0,0,0,0,1,0
1,1,0,1,1,1,1
0,1,0,1,0,1,0
0,0,0,0,0,1,0
0,0,0,0,1,1,0
0,1,0,0,1,1,1
0,1,0,1,0,1,0
0,1,0,0,0,0,0
0,1,1,1,0,0,1
0,0,0,0,0,1,0
0,0,0,0,0,1,0
1,1,1,1,0,1,1
0,0,0,0,1,1,0
0,1,0,1,0,0,0
0,1,0,1,0,0,1
0,1,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,1,0
0,0,0,0,0,1,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
1,1,0,1,0,1,1
0,0,0,0,0,1,0
0,1,0,0,0,0,0
0,1,0,0,0,0,1
0,1,0,0,0,0,0
0,1,0,1,0,0,0
0,1,0,1,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,1,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,1,1,0
0,1,0,1,1,0,1
0,0,0,0,0,1,0
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,0,0,0,1,1,0
0,0,0,0,0,1,0
0,0,0,0,0,1,0
0,1,0,1,0,0,0
0,0,0,0,0,1,0
0,1,0,1,0,0,1
0,0,0,0,0,1,0
0,0,0,0,0,1,0
0,0,0,0,0,1,0
0,1,0,0,0,0,0
0,1,0,0,0,0,1
0,0,0,0,0,1,0
0,1,0,0,0,0,1
>>>>>>> save
