transferPunk,getPunk,withdraw,acceptBidForPunk,offerPunkForSale,buyPunk,punkNoLongerForSale,enterBidForPunk,offerPunkForSaleToAddress,setInitialOwner,allInitialOwnersAssigned,withdrawBidForPunk
1,0,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,0,0,1
1,0,1,1,1,0,1,1,1,0,0,1
1,0,1,1,1,1,0,0,1,0,0,0
1,0,1,1,1,1,1,1,1,0,0,1
1,0,1,1,1,1,1,1,0,0,0,1
0,0,1,0,1,1,0,1,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0,0
0,0,1,0,1,0,0,1,0,0,0,0
0,0,0,0,1,0,0,1,0,0,0,1
1,0,1,0,1,1,1,1,1,0,0,1
0,0,1,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0
1,0,1,1,1,1,1,1,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0
1,0,1,1,1,1,0,1,0,0,0,1
1,0,1,1,1,1,1,1,0,0,0,0
1,0,1,1,1,1,1,1,1,0,0,1
1,0,1,1,1,1,1,1,0,0,0,1
0,0,0,0,1,1,1,0,0,0,0,0
1,0,1,1,1,1,1,1,0,0,0,1
1,0,1,1,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0
1,0,1,1,1,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
1,0,1,1,1,1,0,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0,0,0
0,0,1,1,1,1,1,0,0,0,0,0
0,0,1,0,1,0,1,1,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0,0,0
0,0,1,1,1,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0
0,0,1,1,1,0,1,1,0,0,0,1
0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,0,0
0,0,1,1,1,1,1,1,0,0,0,1
0,0,1,1,1,0,1,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,0,0,0,0,0
