17808  transactions
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActivePreMintedEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
user1 purchase success
user2 purchase success
user3 purchase success
user4 purchase success
user5 purchase success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
user1 setApprovalForAll success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
user6 purchase success
user7 purchase success
user7 purchase fail
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
user8 purchase success
user6 purchase success
user9 purchase success
user10 purchase success
user9 purchase success
user11 purchase success
creator updatePriceInWei success
creator updateArtistsAccount success
user12 purchase success
user13 purchase success
user3 transferFrom success
creator createActiveEdition success
creator createActiveEdition success
user14 purchase success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
user15 purchase success
user14 purchase success
user16 purchase success
user17 purchase success
user17 setApprovalForAll success
user7 purchase success
user18 purchase success
user8 setApprovalForAll success
creator updateArtistsAccount success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator updateTotalAvailable success
creator updateTotalAvailable success
user19 purchase success
creator updatePriceInWei success
user6 purchase success
user6 setApprovalForAll success
creator updateEditionTokenURI success
creator updateEditionTokenURI success
creator updateEditionTokenURI success
creator updateEditionTokenURI success
creator updateEditionTokenURI success
user1 setApprovalForAll success
creator createActiveEdition success
user20 purchase success
user1 purchase success
user1 purchase success
user14 purchase success
user7 purchase success
user21 purchase success
user22 purchase success
user19 purchase success
user23 purchase success
user24 purchase success
user25 purchase success
user6 purchase success
user26 purchase success
user26 purchase success
user27 purchase success
user28 purchase success
user13 purchase success
user29 purchase success
user29 purchase success
user30 purchase success
user8 purchase success
user3 purchase success
user31 purchase success
creator createActiveEdition success
user32 purchase success
user32 purchase success
user32 purchase success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
creator createActiveEdition success
user33 purchase fail
user34 purchase success
user35 purchase success
user36 purchase success
user37 purchase success
user38 purchase success
user35 fallback success
