57036  transactions
creator setV1DigitalMediaStoreAddress  success
creator addApprovedTokenCreator  success
creator unpause  success
user1 setOboApprovalForAll  fail
user1 setOboApprovalForAll  fail
user1 setOboApprovalForAll  fail
user2 oboCreateDigitalMediaReleases 1;1533 success
user2 oboCreateDigitalMediaAndReleases 2;5000 success
user2 oboCreateDigitalMediaAndReleases 3;5001 success
user3 approve 3 success
user2 oboCreateDigitalMediaAndReleases 4;5002 success
user3 approve 4 success
user2 oboCreateDigitalMediaAndReleases 5;5003 success
user3 approve 5 success
user2 oboCreateDigitalMediaAndReleases 6;5004 success
user3 approve 6 success
user2 oboCreateDigitalMediaAndReleases 7;5005 success
user3 approve 7 success
user2 oboCreateDigitalMediaAndReleases 8;5006 success
user3 approve 8 success
user2 oboCreateDigitalMediaAndReleases 9;5007 success
user3 approve 9 success
user2 oboCreateDigitalMediaAndReleases 10;5008 success
user2 oboCreateDigitalMediaAndReleases 11;5009 success
user2 oboCreateDigitalMediaAndReleases 12;5010 success
user2 oboCreateDigitalMediaAndReleases 13;5011 success
user3 approve 11 success
user3 approve 12 success
user2 oboCreateDigitalMediaAndReleases 14;5012 success
user3 approve 14 success
user2 oboCreateDigitalMediaAndReleases 15;5013 success
user3 approve 15 success
user2 oboCreateDigitalMediaAndReleases 16;5014 success
user2 oboCreateDigitalMediaAndReleases 17;5015 success
user3 approve 17 success
user2 oboCreateDigitalMediaAndReleases 18;5016 success
user3 approve 18 success
user2 oboCreateDigitalMediaAndReleases 19;5017 success
user3 approve 19 success
user2 oboCreateDigitalMediaAndReleases 20;5018 success
user3 approve 20 success
user2 oboCreateDigitalMediaAndReleases 21;5019 success
user3 approve 21 success
user2 oboCreateDigitalMediaAndReleases 22;5020 success
user3 approve 22 success
user2 oboCreateDigitalMediaAndReleases 23;5021 success
user3 approve 23 success
user2 oboCreateDigitalMediaAndReleases 24;5022 success
user3 approve 24 success
user2 oboCreateDigitalMediaAndReleases 25;5023 success
user3 approve 25 success
user2 oboCreateDigitalMediaAndReleases 26;5024 success
user3 approve 26 success
user2 oboCreateDigitalMediaAndReleases 27;5025 success
user3 approve 27 success
user2 oboCreateDigitalMediaAndReleases 28;5026 success
user3 approve 28 success
user2 oboCreateDigitalMediaAndReleases 29;5027 success
user3 approve 29 success
user2 oboCreateDigitalMediaAndReleases 30;5028 success
user3 approve 30 success
user2 oboCreateDigitalMediaAndReleases 31;5029 success
user3 approve 31 success
user2 oboCreateDigitalMediaAndReleases 32;5030 success
user2 oboCreateDigitalMediaAndReleases 33;5031 success
user2 oboCreateDigitalMediaAndReleases 34;5032 success
user2 oboCreateDigitalMediaAndReleases 35;5033 success
user2 oboCreateDigitalMediaReleases 36;216 success
user2 oboCreateDigitalMediaAndReleases 37;5034 success
user3 approve 37 success
user2 oboCreateDigitalMediaAndReleases 38;5035 success
user3 approve 38 success
user2 oboCreateDigitalMediaAndReleases 39;5036 success
user2 oboCreateDigitalMediaAndReleases 40;5037 success
user2 oboCreateDigitalMediaAndReleases 41;5038 success
user2 oboCreateDigitalMediaAndReleases 42;5039 success
user2 oboCreateDigitalMediaAndReleases 43;5040 success
user3 approve 43 success
user2 oboCreateDigitalMediaAndReleases 44;5041 success
user3 approve 44 success
user2 oboCreateDigitalMediaAndReleases 45;5042 success
user3 approve 45 success
user2 oboCreateDigitalMediaAndReleases 46;5043 success
user3 approve 46 success
user2 oboCreateDigitalMediaAndReleases 47;5044 success
user3 approve 47 success
user2 oboCreateDigitalMediaAndReleases 48;5045 success
user3 approve 48 success
user2 oboCreateDigitalMediaAndReleases 49;5046 success
user3 approve 49 success
user2 oboCreateDigitalMediaAndReleases 50;5047 success
user3 approve 50 success
user2 oboCreateDigitalMediaAndReleases 51;5048 success
user3 approve 51 success
user3 approve 41 success
user3 approve 42 success
user3 approve 35 success
user3 approve 34 success
user3 approve 33 success
user2 oboCreateDigitalMediaAndReleases 52;5049 success
user3 approve 52 success
user3 approve 32 success
user2 oboCreateDigitalMediaAndReleases 53;5050 success
user2 oboCreateDigitalMediaAndReleases 54;5051 success
user2 oboCreateDigitalMediaAndReleases 55;5052 success
user3 approve 54 success
user3 approve 55 success
user2 oboCreateDigitalMediaAndReleases 56;5053 success
user3 approve 56 success
user2 oboCreateDigitalMediaAndReleases 57;5054 success
user3 approve 57 success
user2 oboCreateDigitalMediaAndReleases 58;5055 success
user3 approve 58 success
user2 oboCreateDigitalMediaAndReleases 59;5056 success
user3 approve 59 success
user2 oboCreateDigitalMediaAndReleases 60;5057 success
user3 approve 60 success
user2 oboCreateDigitalMediaAndReleases 61;5058 success
user3 approve 61 success
user2 oboCreateDigitalMediaAndReleases 62;5059 success
user2 oboCreateDigitalMediaAndReleases 63;5060 success
user3 approve 63 success
user2 oboCreateDigitalMediaAndReleases 64;5061 success
user3 approve 64 success
user2 oboCreateDigitalMediaAndReleases 65;5062 success
user3 approve 65 success
user2 oboCreateDigitalMediaAndReleases 66;5063 success
user3 approve 66 success
user2 oboCreateDigitalMediaAndReleases 67;5064 success
user3 approve 67 success
user2 oboCreateDigitalMediaAndReleases 68;5065 success
user2 oboCreateDigitalMediaAndReleases 69;5066 success
user2 oboCreateDigitalMediaAndReleases 70;5067 success
user3 approve 69 success
user2 oboCreateDigitalMediaAndReleases 71;5068 success
user3 approve 71 success
user3 approve 68 success
user2 oboCreateDigitalMediaReleases 72;2342 success
user2 oboCreateDigitalMediaAndReleases 73;5069 success
user3 approve 72 success
user3 approve 73 success
user2 oboCreateDigitalMediaReleases 74;52 success
user2 oboCreateDigitalMediaAndReleases 75;5070 success
user2 oboCreateDigitalMediaAndReleases 76;5071 success
user3 approve 76 success
user2 oboCreateDigitalMediaAndReleases 77;5072 success
user3 approve 77 success
