fallback,createAuction,bid,withdrawBalance,cancelAuction
0,1,1,0,1
0,1,1,0,1
1,1,1,0,1
0,1,1,0,1
0,0,1,0,0
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,1,0,1
0,1,0,0,1
0,1,0,0,1
0,1,1,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,1,0,1
0,1,0,0,1
0,1,0,0,1
0,1,1,0,1
0,1,0,0,1
0,0,1,0,0
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,0
0,1,1,0,1
0,1,0,0,0
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,0
0,1,1,0,1
0,1,0,0,1
0,1,0,0,0
0,1,1,0,1
0,1,0,0,0
0,1,0,0,0
0,1,1,0,1
0,1,0,0,0
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,1,0,1
0,1,0,0,0
0,1,1,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,0
0,1,1,0,1
0,1,0,0,1
0,1,0,0,0
0,1,1,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,1,0,1
0,1,0,0,0
0,0,1,0,0
0,1,0,0,1
0,1,0,0,1
0,0,1,0,0
0,1,0,0,1
0,1,0,0,1
0,1,0,0,0
0,1,1,0,0
0,1,0,0,1
0,1,0,0,0
0,1,1,0,0
0,1,0,0,0
0,1,0,0,1
0,1,0,0,1
0,0,0,1,0
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,1,0,0
0,1,0,0,1
0,1,0,0,1
0,0,1,0,0
0,1,0,0,0
0,1,1,0,0
0,1,0,0,1
0,0,1,0,0
0,1,1,0,1
0,1,0,0,1
0,1,1,0,1
0,1,0,0,0
0,1,0,0,0
0,1,0,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,0
0,1,0,0,1
0,1,1,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,0
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,0
0,1,0,0,1
0,1,0,0,1
0,1,0,0,0
0,1,0,0,1
0,1,1,0,1
0,1,1,0,1
0,1,1,0,0
0,1,0,0,0
0,1,0,0,1
0,1,1,0,1
0,1,0,0,0
0,1,1,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,0,1,0,0
