user  totalDuration  totalTxs  minDurationPerTx   meanDurationPerTx  maxDurationPerTx
creator 807876 7 17 134645.83333333334 509682
user1 2101716 5 39750 525428.75 1850191
user2 4002845 4940 0 810.4563676857664 85878
user3 982374 20 4549 51703.84210526316 364063
user4 1165271 19 5828 64737.22222222222 553204
user5 99237 13 6294 8269.666666666666 18431
user6 7337 2 7336 7336.0 7336
user7 609603 63 2154 9832.290322580646 44784
user8 2175632 78 1974 28254.948051948053 1071111
user9 345347 12 366 31395.090909090908 204084
user10 1 1 0 0 0
user11 37188 6 5996 7437.4 10547
user12 10 2 9 9.0 9
user13 328368 31 3116 10945.566666666668 83175
user14 1819725 82 743 22465.728395061727 383970
user15 249590 34 4191 7563.30303030303 14719
user16 2572345 76 67 34297.92 895723
user17 2044574 72 4290 28796.802816901407 1112828
user18 1 1 0 0 0
user19 1 1 0 0 0
user20 1 1 0 0 0
user21 2229217 173 2782 12960.558139534884 458147
user22 2101051 64 3150 33350.0 1059502
user23 2417611 71 3064 34537.28571428572 1196180
user24 2411390 143 3057 16981.61267605634 711631
user25 2436463 108 2823 22770.672897196262 1214171
user26 2396119 83 3035 29220.951219512193 1160402
user27 2396954 226 2764 10653.124444444444 558405
user28 2408907 206 2558 11750.760975609755 552609
user29 2417511 244 2527 9948.600823045268 519014
user30 2395162 65 3336 37424.390625 1116214
user31 2015634 62 3193 33043.16393442623 1006380
user32 1392877 22 3241 66327.42857142857 1220025
user33 2391649 118 3087 20441.4358974359 1039430
user34 2188437 224 2538 9813.614349775784 327890
user35 2308120 88 3206 26530.103448275862 1111796
user36 547221 75 1782 7394.864864864865 98156
user37 2425279 147 2746 16611.49315068493 844975
user38 175 3 44 87.0 130
user39 2104789 7 52 350798.0 1653015
user40 28972 10 146 3219.0 18339
user41 6103 2 6102 6102.0 6102
user42 1 1 0 0 0
user43 934910 3 85441 467454.5 849468
user44 48079 2 48078 48078.0 48078
user45 19 2 18 18.0 18
user46 11 2 10 10.0 10
user47 3731039 10 4036 414559.77777777775 1973950
user48 84085 6 148 16816.8 30898
user49 1 1 0 0 0
user50 1 1 0 0 0
user51 72968 10 189 8107.444444444444 28575
user52 1 1 0 0 0
user53 133 5 17 33.0 49
user54 4384 2 4383 4383.0 4383
user55 1 1 0 0 0
user56 1 1 0 0 0
user57 1849 2 1848 1848.0 1848
user58 1 1 0 0 0
user59 1 1 0 0 0
user60 1 1 0 0 0
user61 1 1 0 0 0
user62 2516 2 2515 2515.0 2515
user63 3069 2 3068 3068.0 3068
user64 1 1 0 0 0
user65 1 1 0 0 0
user66 4905 2 4904 4904.0 4904
user67 1 1 0 0 0
user68 1 1 0 0 0
user69 813710 26 19 32548.36 470256
user70 1 1 0 0 0
user71 470556 8 532 67222.14285714286 300162
user72 1921494 33 6 60046.65625 957610
user73 1 1 0 0 0
user74 1 1 0 0 0
user75 1 1 0 0 0
user76 363 3 24 181.0 338
user77 3012607 26 16 120504.24 2180247
user78 1564712 5 672 391177.75 1500440
user79 104 3 44 51.5 59
user80 1 1 0 0 0
user81 108984 4 5199 36327.666666666664 97461
user82 1 1 0 0 0
user83 134 2 133 133.0 133
user84 1 1 0 0 0
user85 1 1 0 0 0
user86 1 1 0 0 0
user87 1 1 0 0 0
user88 1 1 0 0 0
user89 81551 4 5340 27183.333333333332 43934
user90 950388 48 3173 20221.0 560014
user91 1 1 0 0 0
user92 1 1 0 0 0
user93 26 2 25 25.0 25
user94 12816 3 6188 6407.5 6627
user95 273 3 26 136.0 246
user96 1 1 0 0 0
user97 1 1 0 0 0
user98 17647 11 1 1764.6 7234
user99 727896 4 32827 242631.66666666666 637563
user100 1 1 0 0 0
user101 11773 2 11772 11772.0 11772
user102 2293708 11 1165 229370.7 2188594
user103 49988 16 22 3332.4666666666667 40460
user104 1 1 0 0 0
user105 1 1 0 0 0
user106 1261684 38 8 34099.54054054054 955726
user107 819823 172 22 4794.2807017543855 406776
user108 235678 15 26 16834.071428571428 106204
user109 29479 4 26 9826.0 29288
user110 11376 5 49 2843.75 10712
user111 1 1 0 0 0
user112 1704118 24 0 74092.04347826086 915991
user113 16 2 15 15.0 15
user114 18862 3 416 9430.5 18445
user115 1 1 0 0 0
user116 117739 2 117738 117738.0 117738
user117 2079841 28 5 77031.11111111111 1210274
user118 1 1 0 0 0
user119 673525 7 882 112254.0 602737
user120 10941 10 0 1215.5555555555557 3156
user121 306 5 24 76.25 146
user122 1274849 24 6 55428.17391304348 1208918
user123 7844 6 142 1568.6 3568
user124 11753 4 27 3917.3333333333335 6925
user125 1 1 0 0 0
user126 3290 5 57 822.25 2024
user127 1 1 0 0 0
user128 833528 6 46 166705.4 579810
user129 832977 9 154 104122.0 576799
user130 252668 2 252667 252667.0 252667
user131 250832 2 250831 250831.0 250831
user132 229846 4 2420 76615.0 208738
user133 986370 3 395429 493184.5 590940
user134 752260 6 65 150451.8 751152
user135 759912 3 742 379955.5 759169
user136 934 3 219 466.5 714
user137 29 2 28 28.0 28
user138 8099 4 400 2699.3333333333335 4199
user139 1 1 0 0 0
user140 1 1 0 0 0
user141 1827605 23 12 83072.90909090909 1529997
user142 1 1 0 0 0
user143 2165 5 343 541.0 674
user144 732 2 731 731.0 731
user145 1 1 0 0 0
user146 2058 7 39 342.8333333333333 468
user147 699 3 190 349.0 508
user148 1545282 27 19 59433.88461538462 814444
user149 1 1 0 0 0
user150 1 1 0 0 0
user151 121 2 120 120.0 120
user152 2538 9 30 317.125 1076
user153 401 4 45 133.33333333333334 270
user154 172 5 30 42.75 55
user155 1 1 0 0 0
user156 52163 4 54 17387.333333333332 51900
user157 1 1 0 0 0
user158 1 1 0 0 0
user159 212005 2 212004 212004.0 212004
user160 1 1 0 0 0
user161 1 1 0 0 0
user162 1 1 0 0 0
user163 584 3 182 291.5 401
user164 1 1 0 0 0
user165 600761 15 59 42911.42857142857 467089
user166 1 1 0 0 0
user167 1 1 0 0 0
user168 1 1 0 0 0
user169 106 2 105 105.0 105
user170 417 3 158 208.0 258
user171 957 4 108 318.6666666666667 525
user172 5791 5 87 1447.5 3696
user173 1 1 0 0 0
user174 1 1 0 0 0
user175 134 2 133 133.0 133
user176 178 2 177 177.0 177
user177 164789 26 31 6591.52 137258
user178 1 1 0 0 0
user179 61425 4 408 20474.666666666668 48705
user180 1016 5 138 253.75 368
user181 1 1 0 0 0
user182 1 1 0 0 0
user183 1 1 0 0 0
user184 1 1 0 0 0
user185 535817 2 535816 535816.0 535816
user186 580364 2 580363 580363.0 580363
user187 581614 7 60 96935.5 579980
user188 1 1 0 0 0
user189 1488898 7 1 248149.5 1485361
user190 1 1 0 0 0
user191 1677 2 1676 1676.0 1676
user192 35 2 34 34.0 34
user193 68 2 67 67.0 67
user194 1 1 0 0 0
user195 49 2 48 48.0 48
user196 20 2 19 19.0 19
user197 316112 6 24 63222.2 304697
user198 1 1 0 0 0
user199 13091 4 441 4363.333333333333 7688
user200 129 2 128 128.0 128
user201 6620 2 6619 6619.0 6619
user202 11103 3 4542 5551.0 6560
user203 1 1 0 0 0
user204 20 2 19 19.0 19
user205 1 1 0 0 0
user206 3057 2 3056 3056.0 3056
user207 988 3 18 493.5 969
user208 1 1 0 0 0
user209 352 2 351 351.0 351
user210 27635 3 90 13817.0 27544
user211 1 1 0 0 0
user212 27300 3 127 13649.5 27172
user213 1676 2 1675 1675.0 1675
user214 1 1 0 0 0
user215 1 1 0 0 0
user216 87032 31 22 2901.0333333333333 35792
user217 75 3 25 37.0 49
user218 103340 22 140 4920.9047619047615 61205
user219 663 2 662 662.0 662
user220 1 1 0 0 0
user221 270099 29 12 9646.357142857143 255510
user222 4584 3 211 2291.5 4372
user223 12255 4 66 4084.6666666666665 10375
user224 48 2 47 47.0 47
user225 1 1 0 0 0
user226 1 1 0 0 0
user227 20 2 19 19.0 19
user228 1 1 0 0 0
user229 59366 2 59365 59365.0 59365
user230 1 1 0 0 0
user231 117442 3 29368 58720.5 88073
user232 1 1 0 0 0
user233 69 2 68 68.0 68
user234 2209 6 112 441.6 1211
user235 292 9 16 36.375 116
user236 31 3 10 15.0 20
user237 1 1 0 0 0
user238 1 1 0 0 0
user239 801 3 346 400.0 454
user240 520 2 519 519.0 519
user241 957 3 274 478.0 682
user242 1 1 0 0 0
user243 252 2 251 251.0 251
user244 1 1 0 0 0
user245 1 1 0 0 0
