user serverEndGame createGame userEndGameConflict userCancelActiveGame serverEndGameConflict serverCancelActiveGame serverForceGameEnd session_count
user1 0.0 1.0 0.0 0.0 0.0 0.0 0.0 5
user2 1.0 0.0 0.0 0.0 1.0 1.0 1.0 4363
user3 0.0 1.0 0.0 0.0 0.0 0.0 0.0 20
user4 0.0 1.0 0.0 0.0 0.0 0.0 0.0 18
user5 0.0 1.0 0.0 0.0 0.0 0.0 0.0 13
user6 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user7 0.0 1.0 0.0 1.0 0.0 0.0 0.0 61
user8 0.0 1.0 0.0 1.0 0.0 0.0 0.0 76
user9 0.0 1.0 0.0 0.0 0.0 0.0 0.0 12
user10 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user11 0.0 1.0 0.0 0.0 0.0 0.0 0.0 6
user12 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user13 0.0 1.0 0.0 1.0 0.0 0.0 0.0 30
user14 0.0 1.0 0.0 1.0 0.0 0.0 0.0 80
user15 0.0 1.0 0.0 0.0 0.0 0.0 0.0 33
user16 0.0 1.0 0.0 0.0 0.0 0.0 0.0 75
user17 0.0 1.0 0.0 0.0 0.0 0.0 0.0 70
user18 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user19 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user20 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user21 0.0 1.0 0.0 0.0 0.0 0.0 0.0 172
user22 0.0 1.0 0.0 0.0 0.0 0.0 0.0 63
user23 0.0 1.0 0.0 0.0 0.0 0.0 0.0 70
user24 0.0 1.0 0.0 0.0 0.0 0.0 0.0 142
user25 0.0 1.0 0.0 0.0 0.0 0.0 0.0 107
user26 0.0 1.0 0.0 0.0 0.0 0.0 0.0 83
user27 0.0 1.0 0.0 0.0 0.0 0.0 0.0 224
user28 0.0 1.0 0.0 0.0 0.0 0.0 0.0 206
user29 0.0 1.0 0.0 0.0 0.0 0.0 0.0 243
user30 0.0 1.0 0.0 0.0 0.0 0.0 0.0 65
user31 0.0 1.0 0.0 0.0 0.0 0.0 0.0 62
user32 0.0 1.0 0.0 0.0 0.0 0.0 0.0 22
user33 0.0 1.0 0.0 0.0 0.0 0.0 0.0 116
user34 0.0 1.0 0.0 0.0 0.0 0.0 0.0 222
user35 0.0 1.0 0.0 0.0 0.0 0.0 0.0 87
