user serverEndGame createGame serverForceGameEnd userEndGameConflict serverEndGameConflict serverCancelActiveGame userCancelActiveGame
user1 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user2 1.0 0.0 1.0 0.0 1.0 1.0 0.0
user3 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user4 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user5 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user6 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user7 0.0 1.0 0.0 0.0 0.0 0.0 1.0
user8 0.0 1.0 0.0 0.0 0.0 0.0 1.0
user9 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user10 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user11 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user12 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user13 0.0 1.0 0.0 0.0 0.0 0.0 1.0
user14 0.0 1.0 0.0 0.0 0.0 0.0 1.0
user15 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user16 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user17 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user18 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user19 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user20 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user21 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user22 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user23 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user24 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user25 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user26 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user27 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user28 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user29 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user30 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user31 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user32 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user33 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user34 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user35 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user36 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user37 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user38 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user39 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user40 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user41 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user42 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user43 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user44 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user45 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user46 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user47 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user48 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user49 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user50 0.0 1.0 0.0 0.0 0.0 0.0 0.0
user51 0.0 1.0 0.0 1.0 0.0 0.0 0.0
