user punkNoLongerForSale withdrawBidForPunk transferPunk setInitialOwner buyPunk getPunk enterBidForPunk acceptBidForPunk offerPunkForSale offerPunkForSaleToAddress session_count
creator 1.0 1.0 1.0 1.0 1.0 0.0 1.0 1.0 1.0 0.0 9997
user6 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 7
user5 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 1.0 1066
user47 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 1551
user44 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 237
user78 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 684
user111 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 39
user580 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 2
user655 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user656 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 191
user777 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 1.0 93
user17 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 1.0 110
user254 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user214 1.0 1.0 0.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 317
user669 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 1.0 29
user686 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 1
user899 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 85
user1410 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 24
user107 0.0 0.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 0.0 14
user1064 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 12
user61 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 91
user815 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 57
user13 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 86
user809 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 149
user716 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 183
user664 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 1.0 753
user821 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 37
user334 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 1.0 167
user182 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 19
user803 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 59
user3 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 172
user673 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 9
user360 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1
user94 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 254
user59 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 1112
user128 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 6
user20 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 168
user113 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1.0 0.0 4
user588 1.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1.0 0.0 11
user631 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 13
user596 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 15
user877 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user413 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 232
user58 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 97
user1317 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 4
user276 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 4
user316 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user1013 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 4
user1143 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 34
user714 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 65
user791 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 2
user228 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 1.0 136
user806 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 50
user397 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user663 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 1.0 89
user1291 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 5
user242 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user294 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user535 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 36
user1345 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 93
user375 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 24
user812 0.0 1.0 1.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 3
user1065 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 2
user1146 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 3
user1314 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 5
user314 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 11
user336 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 5
user966 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0 1.0 0.0 53
user752 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 54
user638 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 50
user57 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 113
user205 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 110
user891 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 52
user359 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 7
user465 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 3
user612 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 2
user776 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 14
user1247 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1.0 28
user1425 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 425
user696 1.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 5
user890 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 1.0 115
user357 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 35
user1117 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user579 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 2
user1245 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 7
user989 1.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 11
user942 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 11
user1284 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 73
user217 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 10
user874 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user1089 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 11
user18 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 180
user177 0.0 0.0 1.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 5
user980 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 2
user520 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 39
user100 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 86
user1361 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user569 0.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 4
user895 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 31
