user withdrawHeroToAssetOwnerByAdmin mintHero depositHeroToGateway session_count
user1 0.0 0.0 1.0 10
user4 1.0 1.0 0.0 6127
user2 0.0 0.0 1.0 3
user166 0.0 0.0 1.0 27
user3 0.0 0.0 1.0 18
user5 0.0 0.0 1.0 28
user739 0.0 0.0 1.0 7
user51 0.0 0.0 1.0 38
user1479 0.0 0.0 1.0 5
user6 0.0 0.0 1.0 12
user332 0.0 0.0 1.0 19
user7 0.0 0.0 1.0 16
user105 0.0 0.0 1.0 54
user1083 0.0 0.0 1.0 4
user8 0.0 0.0 1.0 1
user9 0.0 0.0 1.0 13
user10 0.0 0.0 1.0 16
user664 0.0 0.0 1.0 29
user133 0.0 0.0 1.0 61
user653 0.0 0.0 1.0 21
user672 0.0 0.0 1.0 105
user11 0.0 0.0 1.0 19
user269 0.0 0.0 1.0 21
user91 0.0 0.0 1.0 36
user498 0.0 0.0 1.0 9
user12 0.0 0.0 1.0 14
user79 0.0 0.0 1.0 34
user493 0.0 0.0 1.0 31
user1205 0.0 0.0 1.0 88
user439 0.0 0.0 1.0 44
user939 0.0 0.0 1.0 2
user173 0.0 0.0 1.0 19
user602 0.0 0.0 1.0 20
user271 0.0 0.0 1.0 16
user13 0.0 0.0 1.0 7
user88 0.0 0.0 1.0 45
user937 0.0 0.0 1.0 148
user14 0.0 0.0 1.0 3
user15 0.0 0.0 1.0 42
user16 0.0 0.0 1.0 9
user17 0.0 0.0 1.0 65
user777 0.0 0.0 1.0 3
user84 0.0 0.0 1.0 32
user104 0.0 0.0 1.0 62
user729 0.0 0.0 1.0 18
user675 0.0 0.0 1.0 20
user200 0.0 0.0 1.0 38
user1059 0.0 0.0 1.0 5
user18 0.0 0.0 1.0 44
user346 0.0 0.0 1.0 15
user840 0.0 0.0 1.0 82
user19 0.0 0.0 1.0 7
user20 0.0 0.0 1.0 8
user275 0.0 0.0 1.0 8
user21 0.0 0.0 1.0 5
user591 0.0 0.0 1.0 29
user728 0.0 0.0 1.0 38
user22 0.0 0.0 1.0 12
user823 0.0 0.0 1.0 4
user316 0.0 0.0 1.0 89
user23 0.0 0.0 1.0 13
user42 0.0 0.0 1.0 27
user1369 0.0 0.0 1.0 3
user24 0.0 0.0 1.0 4
user25 0.0 0.0 1.0 16
user26 0.0 0.0 1.0 29
user27 0.0 0.0 1.0 10
user652 0.0 0.0 1.0 13
user28 0.0 0.0 1.0 7
user29 0.0 0.0 1.0 11
user30 0.0 0.0 1.0 22
user82 0.0 0.0 1.0 34
user895 0.0 0.0 1.0 8
user31 0.0 0.0 1.0 52
user999 0.0 0.0 1.0 7
user1058 0.0 0.0 1.0 51
user32 0.0 0.0 1.0 50
user1351 0.0 0.0 1.0 4
user33 0.0 0.0 1.0 129
user129 0.0 0.0 1.0 25
user34 0.0 0.0 1.0 5
user35 0.0 0.0 1.0 49
user97 0.0 0.0 1.0 56
user36 0.0 0.0 1.0 6
user37 0.0 0.0 1.0 2
user38 0.0 0.0 1.0 4
user661 0.0 0.0 1.0 4
user39 0.0 0.0 1.0 4
user945 0.0 0.0 1.0 40
user40 0.0 0.0 1.0 2
user199 0.0 0.0 1.0 26
user323 0.0 0.0 1.0 13
user41 0.0 0.0 1.0 30
user1161 0.0 0.0 1.0 19
user1368 0.0 0.0 1.0 4
user43 0.0 0.0 1.0 16
user44 0.0 0.0 1.0 3
user45 0.0 0.0 1.0 16
user864 0.0 0.0 1.0 53
user1349 0.0 0.0 1.0 3
user46 0.0 0.0 1.0 6
user828 0.0 0.0 1.0 24
user859 0.0 0.0 1.0 41
user867 0.0 0.0 1.0 5
user984 0.0 0.0 1.0 4
user230 0.0 0.0 1.0 27
user111 0.0 0.0 1.0 19
user47 0.0 0.0 1.0 35
user48 0.0 0.0 1.0 11
user49 0.0 0.0 1.0 18
user662 0.0 0.0 1.0 25
user50 0.0 0.0 1.0 4
user696 0.0 0.0 1.0 10
user52 0.0 0.0 1.0 20
user1186 0.0 0.0 1.0 53
user1464 0.0 0.0 1.0 28
user649 0.0 0.0 1.0 11
user700 0.0 0.0 1.0 22
user658 0.0 0.0 1.0 39
user53 0.0 0.0 1.0 17
user731 0.0 0.0 1.0 27
user1490 0.0 0.0 1.0 6
user54 0.0 0.0 1.0 20
user736 0.0 0.0 1.0 10
user55 0.0 0.0 1.0 32
user56 0.0 0.0 1.0 5
user1460 0.0 0.0 1.0 16
user616 0.0 0.0 1.0 18
user57 0.0 0.0 1.0 7
user58 0.0 0.0 1.0 8
user633 0.0 0.0 1.0 18
user59 0.0 0.0 1.0 29
user458 0.0 0.0 1.0 21
user335 0.0 0.0 1.0 25
user997 0.0 0.0 1.0 18
user1248 0.0 0.0 1.0 15
user60 0.0 0.0 1.0 17
user61 0.0 0.0 1.0 47
user535 0.0 0.0 1.0 21
user86 0.0 0.0 1.0 29
user62 0.0 0.0 1.0 4
user137 0.0 0.0 1.0 22
user993 0.0 0.0 1.0 9
user63 0.0 0.0 1.0 36
user64 0.0 0.0 1.0 26
user549 0.0 0.0 1.0 17
user716 0.0 0.0 1.0 17
user878 0.0 0.0 1.0 15
user776 0.0 0.0 1.0 82
user1106 0.0 0.0 1.0 49
user65 0.0 0.0 1.0 25
user66 0.0 0.0 1.0 61
user654 0.0 0.0 1.0 32
