user airDrop purchase purchaseByEMONT addSales session_count
creator 0.0 0.0 0.0 1.0 21
user1 1.0 1.0 0.0 0.0 2
user46 1.0 1.0 0.0 0.0 5
user117 1.0 1.0 1.0 0.0 14
user105 1.0 1.0 0.0 0.0 6
user319 1.0 1.0 0.0 0.0 4
user141 1.0 1.0 1.0 0.0 7
user962 1.0 1.0 1.0 0.0 11
user1006 0.0 1.0 0.0 0.0 13
user48 0.0 1.0 0.0 0.0 1
user5 1.0 1.0 0.0 0.0 7
user125 1.0 1.0 1.0 0.0 12
user3 1.0 1.0 1.0 0.0 19
user9 1.0 1.0 1.0 0.0 17
user1015 1.0 1.0 0.0 0.0 11
user978 1.0 1.0 1.0 0.0 7
user14 1.0 1.0 0.0 0.0 6
user44 1.0 1.0 0.0 0.0 15
user64 1.0 1.0 0.0 0.0 12
user67 1.0 1.0 0.0 0.0 7
user71 1.0 1.0 0.0 0.0 11
user59 1.0 1.0 1.0 0.0 8
user76 1.0 1.0 0.0 0.0 8
user37 1.0 1.0 1.0 0.0 12
user79 1.0 1.0 0.0 0.0 12
user94 1.0 1.0 0.0 0.0 6
user112 1.0 1.0 0.0 0.0 11
user383 1.0 1.0 1.0 0.0 14
user95 1.0 1.0 1.0 0.0 16
user26 1.0 1.0 1.0 0.0 14
user365 1.0 1.0 1.0 0.0 16
user43 1.0 1.0 0.0 0.0 10
user87 1.0 1.0 1.0 0.0 16
user90 1.0 1.0 1.0 0.0 15
user60 1.0 1.0 0.0 0.0 5
user102 0.0 1.0 0.0 0.0 3
user113 1.0 1.0 0.0 0.0 2
user111 1.0 1.0 0.0 0.0 5
user128 1.0 1.0 0.0 0.0 3
user42 1.0 1.0 1.0 0.0 15
user130 1.0 1.0 1.0 0.0 12
user191 1.0 1.0 0.0 0.0 12
user8 1.0 1.0 1.0 0.0 15
user68 0.0 1.0 0.0 0.0 10
user45 1.0 1.0 0.0 0.0 13
user63 1.0 1.0 0.0 0.0 9
user91 1.0 1.0 0.0 0.0 12
user78 1.0 1.0 0.0 0.0 6
user378 1.0 1.0 0.0 0.0 6
user92 1.0 1.0 0.0 0.0 5
user30 1.0 1.0 1.0 0.0 10
user34 1.0 1.0 1.0 0.0 4
user16 1.0 1.0 1.0 0.0 16
user65 1.0 1.0 1.0 0.0 7
user7 1.0 1.0 0.0 0.0 7
user69 1.0 1.0 1.0 0.0 10
user83 1.0 1.0 1.0 0.0 7
user10 1.0 1.0 0.0 0.0 12
user114 1.0 1.0 1.0 0.0 11
user104 1.0 1.0 0.0 0.0 11
user122 1.0 1.0 0.0 0.0 10
user126 1.0 1.0 0.0 0.0 6
user127 1.0 1.0 1.0 0.0 13
user131 1.0 1.0 0.0 0.0 7
user12 1.0 1.0 1.0 0.0 15
