user createListing purchaseEstate session_count
user1 1.0 0.0 150
creator 0.0 1.0 18
user20 0.0 1.0 36
user26 0.0 1.0 30
user44 0.0 1.0 12
user14 0.0 1.0 21
user13 0.0 1.0 30
user58 0.0 1.0 10
user70 0.0 1.0 6
user2 0.0 1.0 6
user23 0.0 1.0 2
user25 0.0 1.0 8
user31 0.0 1.0 14
user10 0.0 1.0 83
user63 0.0 1.0 3
user66 0.0 1.0 6
user75 0.0 1.0 28
user76 0.0 1.0 1
user3 0.0 1.0 1
user6 0.0 1.0 12
user8 0.0 1.0 27
user9 0.0 1.0 33
user16 0.0 1.0 13
user40 0.0 1.0 2
user36 0.0 1.0 50
user68 0.0 1.0 1
user22 0.0 1.0 81
user28 0.0 1.0 20
user24 0.0 1.0 6
user54 0.0 1.0 3
user57 0.0 1.0 15
user12 0.0 1.0 22
user37 0.0 1.0 8
user27 0.0 1.0 24
user38 0.0 1.0 18
user47 0.0 1.0 6
user51 0.0 1.0 3
user41 0.0 1.0 15
user52 0.0 1.0 20
user19 0.0 1.0 25
user32 0.0 1.0 4
user49 0.0 1.0 33
user56 0.0 1.0 6
user35 0.0 1.0 11
user80 0.0 1.0 10
user17 0.0 1.0 32
user21 0.0 1.0 28
user71 0.0 1.0 26
user89 0.0 1.0 4
user45 0.0 1.0 10
user33 0.0 1.0 5
user67 0.0 1.0 2
user7 0.0 1.0 4
user46 0.0 1.0 8
user109 0.0 1.0 3
user42 0.0 1.0 13
user102 0.0 1.0 2
user15 0.0 1.0 11
user48 0.0 1.0 6
user18 0.0 1.0 13
user53 0.0 1.0 5
user73 0.0 1.0 6
user82 0.0 1.0 4
user78 0.0 1.0 1
user107 0.0 1.0 1
user60 0.0 1.0 4
user5 0.0 1.0 5
user30 0.0 1.0 1
user39 0.0 1.0 2
user86 0.0 1.0 1
user29 0.0 1.0 5
user77 0.0 1.0 3
user88 0.0 1.0 2
user50 0.0 1.0 1
user61 0.0 1.0 2
user85 0.0 1.0 2
user72 0.0 1.0 5
user62 0.0 1.0 2
user105 0.0 1.0 2
user65 0.0 1.0 2
user87 0.0 1.0 3
user83 0.0 1.0 3
user81 0.0 1.0 1
user4 0.0 1.0 1
user74 0.0 1.0 1
user84 0.0 1.0 1
user34 0.0 1.0 4
user59 0.0 1.0 1
user90 0.0 1.0 1
user104 0.0 1.0 1
user11 0.0 1.0 1
user79 1.0 0.0 27
user91 0.0 1.0 1
user96 0.0 1.0 11
user97 0.0 1.0 13
user95 0.0 1.0 8
user98 0.0 1.0 2
user94 0.0 1.0 19
user100 0.0 1.0 1
user103 0.0 1.0 1
user106 0.0 1.0 4
user113 0.0 1.0 2
user110 0.0 1.0 4
user116 0.0 1.0 1
user93 0.0 1.0 4
user108 0.0 1.0 1
user114 0.0 1.0 1
user101 0.0 1.0 3
user111 0.0 1.0 1
user112 0.0 1.0 2
user99 0.0 1.0 1
user115 0.0 1.0 1
