user giveupBid cancelBid verifyBid refundBid acceptBid session_count
user3 0.0 0.0 0.0 0.0 1.0 1
user4 1.0 1.0 1.0 0.0 1.0 23
user1 0.0 1.0 1.0 1.0 1.0 17
user5 0.0 1.0 0.0 0.0 1.0 5
user6 0.0 0.0 0.0 0.0 1.0 1
user7 0.0 0.0 1.0 0.0 1.0 5
user9 0.0 0.0 1.0 0.0 1.0 1
user10 0.0 1.0 0.0 0.0 1.0 3
user12 0.0 1.0 0.0 1.0 0.0 4
user13 0.0 0.0 0.0 0.0 1.0 4
user14 0.0 0.0 0.0 0.0 1.0 2
user15 1.0 1.0 0.0 1.0 1.0 5
user16 0.0 0.0 1.0 0.0 1.0 3
user17 0.0 1.0 0.0 0.0 0.0 2
user18 0.0 1.0 0.0 0.0 0.0 5
user20 0.0 0.0 0.0 0.0 1.0 1
user21 0.0 0.0 0.0 0.0 1.0 1
user22 0.0 0.0 0.0 0.0 1.0 1
user25 1.0 1.0 0.0 0.0 1.0 8
user26 0.0 0.0 0.0 0.0 1.0 1
user31 0.0 1.0 0.0 0.0 0.0 1
user30 0.0 1.0 0.0 0.0 0.0 1
user34 0.0 0.0 0.0 0.0 1.0 1
user35 0.0 0.0 0.0 0.0 1.0 1
user39 0.0 0.0 1.0 0.0 1.0 4
user41 0.0 0.0 0.0 0.0 1.0 1
user44 0.0 0.0 1.0 0.0 1.0 2
user40 0.0 1.0 1.0 0.0 0.0 4
user45 0.0 0.0 0.0 0.0 1.0 2
user46 0.0 0.0 0.0 0.0 1.0 1
user47 0.0 1.0 0.0 0.0 0.0 2
user48 0.0 0.0 0.0 0.0 1.0 2
user49 0.0 1.0 0.0 0.0 0.0 2
user50 0.0 0.0 0.0 0.0 1.0 1
user51 0.0 0.0 0.0 0.0 1.0 2
user52 0.0 0.0 0.0 0.0 1.0 1
user55 0.0 0.0 0.0 0.0 1.0 2
