user  totalDuration  totalTxs  minDurationPerTx   meanDurationPerTx  maxDurationPerTx
creator 3209375 4 4 1069791.3333333333 2727753
user1 2230195 4 0 743398.0 2230095
user2 4096844 28173 0 145.42251171375835 274722
user3 2222814 16355 0 135.91861318331905 7521
user4 2898693 4 655089 966230.6666666666 1523982
user5 3719483 5 414341 929870.5 2010546
user6 5 2 4 4.0 4
user7 1 1 0 0 0
user8 3617696 7 151687 602949.1666666666 1605866
user9 1 1 0 0 0
user10 3495114 3 10973 1747556.5 3484140
user11 1 1 0 0 0
user12 1 1 0 0 0
user13 2357635 30 0 81297.72413793103 684526
user14 1510342 10 15 167815.66666666666 857274
user15 3155200 5 460 788799.75 1490007
user16 79901 15 0 5707.142857142857 79383
user17 1 1 0 0 0
user18 1 1 0 0 0
user19 2265647 9 8 283205.75 1109136
user20 2812270 4 336212 937423.0 1339776
user21 1 1 0 0 0
user22 1 1 0 0 0
user23 2621055 2 2621054 2621054.0 2621054
user24 2726516 38 0 73689.5945945946 768603
user25 1 1 0 0 0
user26 37 3 7 18.0 29
user27 455 5 0 113.5 280
user28 2565799 4 345 855266.0 2525825
user29 1 1 0 0 0
user30 2357872 8 253 336838.71428571426 967318
user31 2354893 27 0 90572.76923076923 1192484
user32 133953 2 133952 133952.0 133952
user33 1 1 0 0 0
user34 27929 9 2 3491.0 20550
user35 2256 3 4 1127.5 2251
user36 1 1 0 0 0
user37 2157502 4 2 719167.0 2157487
user38 2391839 30 0 82477.1724137931 346778
user39 2090464 21 0 104523.15 1194235
user40 1 1 0 0 0
user41 1838143 2 1838142 1838142.0 1838142
user42 1 1 0 0 0
user43 1991349 28 0 73753.62962962964 1083175
user44 2017832 10 131 224203.44444444444 515897
user45 500560 4 189 166853.0 498028
user46 848022 2 848021 848021.0 848021
user47 50 5 0 12.25 46
user48 1 1 0 0 0
user49 2353960 14 28 181073.76923076922 802532
user50 1 1 0 0 0
user51 1181046 10 21 131227.22222222222 501793
user52 1895168 9 0 236895.875 1658976
user53 1 1 0 0 0
user54 1 1 0 0 0
user55 1 1 0 0 0
user56 1907041 12 0 173367.27272727274 1077398
user57 78189 3 29847 39094.0 48341
user58 7284 16 0 485.53333333333336 6129
user59 2077768 2 2077767 2077767.0 2077767
user60 878449 5 65519 219612.0 520021
user61 9295 2 9294 9294.0 9294
user62 1 1 0 0 0
user63 287289 2 287288 287288.0 287288
user64 29196 2 29195 29195.0 29195
user65 1 1 0 0 0
user66 1 1 0 0 0
user67 1 1 0 0 0
user68 1 1 0 0 0
user69 1 1 0 0 0
user70 1 1 0 0 0
user71 1 1 0 0 0
user72 1746489 5 15845 436622.0 1382475
user73 1787669 2 1787668 1787668.0 1787668
user74 1 1 0 0 0
user75 1 1 0 0 0
user76 1 1 0 0 0
user77 1260097 2 1260096 1260096.0 1260096
user78 1 1 0 0 0
user79 1 1 0 0 0
user80 36685 2 36684 36684.0 36684
user81 1431351 2 1431350 1431350.0 1431350
user82 1 1 0 0 0
user83 1846884 2 1846883 1846883.0 1846883
user84 1599914 4 0 533304.3333333334 1599806
user85 1 1 0 0 0
user86 1 1 0 0 0
user87 1541956 3 23 770977.5 1541932
user88 1116327 2 1116326 1116326.0 1116326
user89 313671 3 0 156835.0 313670
user90 1831159 2 1831158 1831158.0 1831158
user91 1663433 4 458594 554477.3333333334 694075
user92 1315295 10 3 146143.77777777778 849179
user93 1666015 5 25873 416503.5 1189371
user94 1 1 0 0 0
user95 1798059 56 0 32691.963636363635 255549
user96 1948207 2 1948206 1948206.0 1948206
user97 2045360 10 4811 227262.11111111112 1779241
user98 1 1 0 0 0
user99 1241961 2 1241960 1241960.0 1241960
user100 1 1 0 0 0
user101 1 1 0 0 0
user102 1 1 0 0 0
user103 1732282 7 25 288713.5 1677152
user104 701130 7 16 116854.83333333333 700802
user105 1 1 0 0 0
user106 1 1 0 0 0
user107 1871616 6 456 374323.0 1595548
user108 1938449 10 18 215383.11111111112 1370710
user109 1 1 0 0 0
user110 1 1 0 0 0
user111 1 1 0 0 0
user112 1 1 0 0 0
user113 1 1 0 0 0
user114 1388034 3 422044 694016.5 965989
user115 403 6 0 80.4 388
user116 1 1 0 0 0
user117 1 1 0 0 0
user118 117745 2 117744 117744.0 117744
user119 18798 2 18797 18797.0 18797
user120 18798 2 18797 18797.0 18797
user121 18801 2 18800 18800.0 18800
user122 18799 2 18798 18798.0 18798
user123 18801 2 18800 18800.0 18800
user124 1 1 0 0 0
user125 18799 2 18798 18798.0 18798
user126 18801 2 18800 18800.0 18800
user127 18798 2 18797 18797.0 18797
user128 18800 2 18799 18799.0 18799
user129 18797 2 18796 18796.0 18796
user130 18799 2 18798 18798.0 18798
user131 18799 2 18798 18798.0 18798
user132 18800 2 18799 18799.0 18799
user133 18800 2 18799 18799.0 18799
user134 18799 2 18798 18798.0 18798
user135 18800 2 18799 18799.0 18799
user136 18798 2 18797 18797.0 18797
user137 18798 2 18797 18797.0 18797
user138 18799 2 18798 18798.0 18798
user139 18800 2 18799 18799.0 18799
user140 18797 2 18796 18796.0 18796
user141 1 1 0 0 0
user142 1507551 4 19253 502516.6666666667 946864
user143 1 1 0 0 0
user144 1 1 0 0 0
user145 1 1 0 0 0
user146 1 1 0 0 0
user147 1 1 0 0 0
user148 1 1 0 0 0
user149 1 1 0 0 0
user150 1 1 0 0 0
user151 1 1 0 0 0
user152 1 1 0 0 0
user153 1 1 0 0 0
user154 1 1 0 0 0
user155 1 1 0 0 0
user156 852047 3 14 426023.0 852032
user157 1 1 0 0 0
user158 1 1 0 0 0
user159 320549 9 3 40068.5 177764
user160 1 1 0 0 0
user161 1452987 6 0 290597.2 1072360
user162 1 1 0 0 0
user163 1 1 0 0 0
user164 1 1 0 0 0
user165 1 1 0 0 0
user166 134384 57 0 2399.6964285714284 71693
user167 1 1 0 0 0
user168 1231006 6 26741 246201.0 510881
user169 58373 3 185 29186.0 58187
user170 1291737 2 1291736 1291736.0 1291736
user171 2933 2 2932 2932.0 2932
user172 1 1 0 0 0
user173 1 1 0 0 0
user174 1758516 9 0 219814.375 1291738
user175 180974 3 1 90486.5 180972
user176 1 1 0 0 0
user177 1 1 0 0 0
user178 837647 3 244907 418823.0 592739
user179 1473253 16 17 98216.8 490584
user180 1 1 0 0 0
user181 726197 2 726196 726196.0 726196
user182 1 1 0 0 0
user183 505284 2 505283 505283.0 505283
user184 1 1 0 0 0
user185 1 1 0 0 0
user186 65 4 14 21.333333333333332 34
user187 249098 4 31848 83032.33333333333 168402
user188 1402370 30 0 48357.55172413793 1079344
user189 1314386 23 0 59744.77272727273 577543
user190 7 3 1 3.0 5
user191 1 1 0 0 0
user192 1211678 2 1211677 1211677.0 1211677
user193 1214955 16 3 80996.93333333333 852665
user194 1 1 0 0 0
user195 13 2 12 12.0 12
user196 1 1 0 0 0
user197 1 1 0 0 0
user198 1607745 2 1607744 1607744.0 1607744
user199 588674 6 0 117734.6 410863
user200 1 1 0 0 0
user201 1 1 0 0 0
user202 1 1 0 0 0
user203 1339086 6 3597 267817.0 778158
user204 14 3 6 6.5 7
user205 1 1 0 0 0
user206 176925 31 0 5897.466666666666 142910
user207 1267541 19 0 70418.88888888889 723780
user208 1106456 2 1106455 1106455.0 1106455
user209 1465546 3 649 732772.5 1464896
user210 117061 6 0 23412.0 78826
user211 1 1 0 0 0
user212 598595 2 598594 598594.0 598594
user213 28 3 10 13.5 17
user214 1 1 0 0 0
user215 1 1 0 0 0
user216 426880 6 17 85375.8 379281
user217 1 1 0 0 0
user218 1 1 0 0 0
user219 47497 5 28 11874.0 47287
user220 1296983 2 1296982 1296982.0 1296982
user221 8667 5 0 2166.5 4640
user222 1 1 0 0 0
user223 1 1 0 0 0
user224 232161 2 232160 232160.0 232160
user225 1 1 0 0 0
user226 35268 2 35267 35267.0 35267
user227 505467 3 17 252733.0 505449
user228 586560 3 171921 293279.5 414638
user229 1 1 0 0 0
user230 40 3 11 19.5 28
user231 209 4 8 69.33333333333333 185
user232 484443 2 484442 484442.0 484442
user233 1 1 0 0 0
user234 1 1 0 0 0
user235 1 1 0 0 0
user236 1 1 0 0 0
user237 1347759 16 0 89850.53333333334 513454
user238 1 1 0 0 0
user239 1334122 6209 0 214.90351159793815 60174
user240 1007088 3 299464 503543.5 707623
user241 1 1 0 0 0
user242 1 1 0 0 0
user243 1 1 0 0 0
user244 85576 9 2 10696.875 85487
user245 1 1 0 0 0
user246 1 1 0 0 0
user247 1212539 238 0 5116.194092827004 285269
user248 1 2 0 0.0 0
user249 1 1 0 0 0
user250 1 1 0 0 0
user251 10 2 9 9.0 9
user252 937586 3 8058 468792.5 929527
user253 1 1 0 0 0
user254 1 1 0 0 0
user255 1071372 3 7 535685.5 1071364
user256 896144 4 100868 298714.3333333333 467280
user257 1 1 0 0 0
user258 1 1 0 0 0
user259 1 1 0 0 0
user260 1277609 43 0 30419.238095238095 339713
user261 22 2 21 21.0 21
user262 928307 15 0 66307.57142857143 928225
user263 1 1 0 0 0
user264 1 1 0 0 0
user265 1 1 0 0 0
user266 1 1 0 0 0
user267 1141862 2 1141861 1141861.0 1141861
user268 1 1 0 0 0
user269 1 1 0 0 0
user270 1 1 0 0 0
user271 262126 3 10915 131062.5 251210
user272 1 1 0 0 0
user273 1 1 0 0 0
user274 1 1 0 0 0
user275 1161982 11 0 116198.1 446450
user276 1037604 4 25 345867.6666666667 740194
user277 13027 3 2 6513.0 13024
user278 1 1 0 0 0
user279 940625 17 1 58789.0 205164
user280 1 1 0 0 0
user281 1081696 6 5354 216339.0 484566
user282 733027 15 0 52359.0 709521
user283 1 1 0 0 0
user284 12 3 5 5.5 6
user285 1113491 25 0 46395.416666666664 324891
user286 1 1 0 0 0
user287 1 1 0 0 0
user288 1 1 0 0 0
user289 1 1 0 0 0
user290 674423 3 155034 337211.0 519388
user291 1 1 0 0 0
user292 895664 8 0 127951.85714285714 449042
user293 147055 2 147054 147054.0 147054
user294 550425 2 550424 550424.0 550424
user295 1119954 9 0 139994.125 944716
user296 690623 5 1 172655.5 497739
user297 1 1 0 0 0
user298 5 2 4 4.0 4
user299 1 1 0 0 0
user300 1 1 0 0 0
user301 1 1 0 0 0
user302 656 28 1 24.25925925925926 455
user303 1 1 0 0 0
user304 1 1 0 0 0
user305 1 1 0 0 0
user306 11698 3 5221 5848.5 6476
user307 859397 2 859396 859396.0 859396
user308 1 1 0 0 0
user309 448697 3 206360 224348.0 242336
user310 1 1 0 0 0
user311 706060 6 0 141211.8 689786
user312 1 1 0 0 0
user313 1001204 2 1001203 1001203.0 1001203
user314 606887 3 133459 303443.0 473427
user315 1 1 0 0 0
user316 1 1 0 0 0
user317 1 1 0 0 0
user318 891592 22 4 42456.71428571428 170316
user319 1 1 0 0 0
