user transferFrom oboCreateDigitalMediaReleases oboCreateDigitalMediaAndReleases approve burn burnDigitalMedia safeTransferFrom burnToken session_count
user2 0.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 28158
user3 0.0 0.0 0.0 1.0 0.0 1.0 1.0 1.0 13777
user166 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54
user5 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 4
user31 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 26
user221 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5
user690 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1
user570 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 28
user199 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5
user58 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 16
user423 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3
user29 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 1
user100 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1
user38 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 29
user60 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5
user92 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 9
user247 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 227
user207 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 18
user16 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 14
user318 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 22
user34 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 9
user53 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1
user15 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 4
user56 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 11
user95 1.0 0.0 0.0 1.0 0.0 0.0 1.0 0.0 30
user24 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 37
user30 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 7
user27 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user417 1.0 0.0 0.0 1.0 0.0 0.0 1.0 0.0 9
user384 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4
user13 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 27
user279 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 15
user282 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 13
user47 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 4
user90 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user189 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 23
user469 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 41
user19 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7
user14 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 8
user174 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7
user8 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6
user28 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 1
user463 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 2
user20 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 3
user505 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1
user458 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 46
user26 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3
user52 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 5
user590 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 1
user32 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 2
user43 1.0 0.0 0.0 1.0 0.0 0.0 1.0 0.0 5
user87 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user89 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user248 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user603 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 18
user424 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 10
user4 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 2
user40 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1
user81 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1
user98 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1
user41 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user97 0.0 0.0 0.0 1.0 0.0 0.0 1.0 0.0 7
user103 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 7
user104 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6
user35 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user452 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1
user306 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user557 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 4
user93 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5
user151 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1
