Dapp, Number of Roles, Used Time 
Diceether, 5, 0.10
CryptoPunks, 171, 353.66
MyCryptoHeroes-presale, 7, 2.17
MyCryptoHeroes-game, 3, 0.50
EtherEstates, 8, 0.16
OpenSea, 8, 0.43
Superrare, 74, 302.27
AdEx, 17, 4.19
MakersPlace, 27, 10.93
EthexBet, 4, 0.03
DecentralGames, 3, 0.21
Degens, 16, 1.80
OceanMarket, 8, 885.48
dice2win, 5, 0.06
0x, 21, 67.62
IDEX, 9, 393.47
Curv, 5, 140.12
Axie, 14, 1.71
KnownOriginMarketplace, 50, 147.17
Fyooz, 9, 20.87
SingularityNET, 5, 240.87
CryptoKitties, 18, 2.34
OriginProtocol, 106, 308.27
